user1,user2,contact,firstcontacttimestamp,lastcontacttimestamp,distance,duration
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,a90d7e53-db59-49be-9ccd-5709053f3202,5,2022-11-14 16:37:02.302000-03:00,2022-11-14 16:38:14.205000-03:00,326.5,1.1983833333333334
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,a90d7e53-db59-49be-9ccd-5709053f3202,6,2022-11-14 19:02:59.779000-03:00,2022-11-14 19:02:59.899000-03:00,381.0,0.002
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,a98df9f9-acaa-402d-81d0-11dd4cdf8a36,1,2022-11-14 13:01:23.150000-03:00,2022-11-14 13:01:23.150000-03:00,357.0,0.0
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,a98df9f9-acaa-402d-81d0-11dd4cdf8a36,2,2022-11-14 13:29:25.952000-03:00,2022-11-14 13:29:36.354000-03:00,287.0,0.17336666666666664
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,a98df9f9-acaa-402d-81d0-11dd4cdf8a36,3,2022-11-14 13:57:18.144000-03:00,2022-11-14 14:10:42.690000-03:00,189.6,13.4091
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,a98df9f9-acaa-402d-81d0-11dd4cdf8a36,4,2022-11-14 14:42:15.747000-03:00,2022-11-14 14:42:41.418000-03:00,259.5,0.42785
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,a98df9f9-acaa-402d-81d0-11dd4cdf8a36,5,2022-11-15 21:09:21.042000-03:00,2022-11-15 21:25:31.075000-03:00,207.6,16.16721666666667
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,a98df9f9-acaa-402d-81d0-11dd4cdf8a36,6,2022-11-16 20:22:18.814000-03:00,2022-11-16 20:22:41.611000-03:00,286.0,0.37995
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,b6661f70-3752-433b-9b22-6446c959522c,1,2022-11-14 13:29:25.918000-03:00,2022-11-14 13:29:36.323000-03:00,278.0,0.17341666666666666
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,b6661f70-3752-433b-9b22-6446c959522c,2,2022-11-14 13:57:37.187000-03:00,2022-11-14 14:09:56.744000-03:00,147.0,12.32595
000b70b6-3d74-42dc-8ff2-52fd0f4e9ec3,b6661f70-3752-433b-9b22-6446c959522c,3,2022-11-14 14:42:30.766000-03:00,2022-11-14 14:42:41.398000-03:00,0.0,0.1772
