"id","userid","anotheruser","firstcontacttimestamp","lastcontacttimestamp","distance","rssi","batterylevel"
63,"b6661f70-3752-433b-9b22-6446c959522c","207ff938-b66d-4137-8343-7088616af16f","2022-11-07 18:48:59.214+00","2022-11-07 18:52:38.371+00",60,-69.0,8
64,"a98df9f9-acaa-402d-81d0-11dd4cdf8a36","b6661f70-3752-433b-9b22-6446c959522c","2022-11-10 22:27:05.226+00","2022-11-10 22:27:21.777+00",483,-97.0,80
65,"a98df9f9-acaa-402d-81d0-11dd4cdf8a36","5bfa6f7f-4264-48cb-a1fd-f2cab29af86f","2022-11-10 22:27:05.281+00","2022-11-10 22:27:21.827+00",21,-66.0,80
66,"a98df9f9-acaa-402d-81d0-11dd4cdf8a36","207ff938-b66d-4137-8343-7088616af16f","2022-11-10 22:27:05.323+00","2022-11-10 22:27:35.092+00",432,-96.0,80
67,"5bfa6f7f-4264-48cb-a1fd-f2cab29af86f","207ff938-b66d-4137-8343-7088616af16f","2022-11-10 21:46:18.569+00","2022-11-10 21:46:18.569+00",171,-81.0,68
68,"b6661f70-3752-433b-9b22-6446c959522c","207ff938-b66d-4137-8343-7088616af16f","2022-11-10 22:04:36.285+00","2022-11-10 22:05:09.094+00",44,-64.0,75
69,"b6661f70-3752-433b-9b22-6446c959522c","5bfa6f7f-4264-48cb-a1fd-f2cab29af86f","2022-11-10 22:05:08.966+00","2022-11-10 22:05:08.966+00",261,-88.0,75
70,"b6661f70-3752-433b-9b22-6446c959522c","a90d7e53-db59-49be-9ccd-5709053f3202","2022-11-10 23:59:00.386+00","2022-11-10 23:59:06.754+00",29,-62.0,70
71,"b6661f70-3752-433b-9b22-6446c959522c","5bfa6f7f-4264-48cb-a1fd-f2cab29af86f","2022-11-10 23:59:06.697+00","2022-11-10 23:59:06.697+00",287,-89.0,70
72,"b6661f70-3752-433b-9b22-6446c959522c","207ff938-b66d-4137-8343-7088616af16f","2022-11-10 23:59:06.796+00","2022-11-10 23:59:06.796+00",25,-60.0,70
73,"a90d7e53-db59-49be-9ccd-5709053f3202","b6661f70-3752-433b-9b22-6446c959522c","2022-11-10 23:53:17.419+00","2022-11-10 23:53:27.574+00",55,-69.0,22
74,"a90d7e53-db59-49be-9ccd-5709053f3202","207ff938-b66d-4137-8343-7088616af16f","2022-11-10 23:53:17.454+00","2022-11-10 23:53:27.583+00",97,-76.0,22
75,"a90d7e53-db59-49be-9ccd-5709053f3202","b6661f70-3752-433b-9b22-6446c959522c","2022-11-11 00:00:51.827+00","2022-11-11 00:00:51.827+00",144,-78.0,21
76,"a90d7e53-db59-49be-9ccd-5709053f3202","b6661f70-3752-433b-9b22-6446c959522c","2022-11-11 00:01:20.389+00","2022-11-11 00:01:30.72+00",66,-70.0,21
77,"a90d7e53-db59-49be-9ccd-5709053f3202","5bfa6f7f-4264-48cb-a1fd-f2cab29af86f","2022-11-11 00:01:20.41+00","2022-11-11 00:01:20.46+00",257,-90.0,21
78,"a90d7e53-db59-49be-9ccd-5709053f3202","207ff938-b66d-4137-8343-7088616af16f","2022-11-11 00:01:20.427+00","2022-11-11 00:01:30.736+00",194,-80.0,21
79,"b6661f70-3752-433b-9b22-6446c959522c","5bfa6f7f-4264-48cb-a1fd-f2cab29af86f","2022-11-10 23:59:22.827+00","2022-11-11 00:01:35.589+00",357,-95.0,70
80,"b6661f70-3752-433b-9b22-6446c959522c","a90d7e53-db59-49be-9ccd-5709053f3202","2022-11-10 23:59:23.003+00","2022-11-11 00:01:35.628+00",72,-67.0,70
81,"b6661f70-3752-433b-9b22-6446c959522c","207ff938-b66d-4137-8343-7088616af16f","2022-11-10 23:59:23.05+00","2022-11-11 00:01:35.666+00",11,-58.0,70
82,"207ff938-b66d-4137-8343-7088616af16f","5bfa6f7f-4264-48cb-a1fd-f2cab29af86f","2022-11-10 21:46:21.51+00","2022-11-10 21:46:38.553+00",49,-56.0,69
83,"207ff938-b66d-4137-8343-7088616af16f","5bfa6f7f-4264-48cb-a1fd-f2cab29af86f","2022-11-10 21:49:44.437+00","2022-11-10 21:49:44.437+00",245,-87.0,69
84,"207ff938-b66d-4137-8343-7088616af16f","b6661f70-3752-433b-9b22-6446c959522c","2022-11-11 00:04:09.874+00","2022-11-11 00:04:15.884+00",12,-56.0,62
85,"207ff938-b66d-4137-8343-7088616af16f","a90d7e53-db59-49be-9ccd-5709053f3202","2022-11-11 00:04:09.897+00","2022-11-11 00:04:15.898+00",40,-64.0,62
86,"207ff938-b66d-4137-8343-7088616af16f","b6661f70-3752-433b-9b22-6446c959522c","2022-11-11 00:04:31.5+00","2022-11-11 00:06:08.594+00",45,-65.0,62
87,"207ff938-b66d-4137-8343-7088616af16f","a90d7e53-db59-49be-9ccd-5709053f3202","2022-11-11 00:04:31.519+00","2022-11-11 00:06:39.61+00",115,-65.0,62
88,"207ff938-b66d-4137-8343-7088616af16f","5bfa6f7f-4264-48cb-a1fd-f2cab29af86f","2022-11-11 00:04:50.533+00","2022-11-11 00:06:08.606+00",230,-86.0,62
89,"4dc30af1-793b-47c6-83ad-8412f2ff4f7c","207ff938-b66d-4137-8343-7088616af16f","2022-11-10 21:48:58.833+00","2022-11-10 21:48:58.833+00",1,-45.0,41
90,"4dc30af1-793b-47c6-83ad-8412f2ff4f7c","b6661f70-3752-433b-9b22-6446c959522c","2022-11-11 00:15:04.655+00","2022-11-11 00:15:04.655+00",30,-83.0,35
91,"4dc30af1-793b-47c6-83ad-8412f2ff4f7c","a90d7e53-db59-49be-9ccd-5709053f3202","2022-11-11 00:15:04.678+00","2022-11-11 00:15:04.678+00",165,-94.0,35
92,"4dc30af1-793b-47c6-83ad-8412f2ff4f7c","207ff938-b66d-4137-8343-7088616af16f","2022-11-11 00:15:04.695+00","2022-11-11 00:15:04.695+00",3,-50.0,35
93,"a90d7e53-db59-49be-9ccd-5709053f3202","b6661f70-3752-433b-9b22-6446c959522c","2022-11-11 00:01:35.912+00","2022-11-11 00:01:59.683+00",152,-77.0,21
94,"a90d7e53-db59-49be-9ccd-5709053f3202","207ff938-b66d-4137-8343-7088616af16f","2022-11-11 00:01:35.946+00","2022-11-11 00:01:36.025+00",161,-80.0,21
95,"a90d7e53-db59-49be-9ccd-5709053f3202","b6661f70-3752-433b-9b22-6446c959522c","2022-11-11 00:11:12.392+00","2022-11-11 00:21:46.329+00",8,-54.0,20
96,"a90d7e53-db59-49be-9ccd-5709053f3202","5bfa6f7f-4264-48cb-a1fd-f2cab29af86f","2022-11-11 00:11:12.552+00","2022-11-11 00:21:46.344+00",148,-89.0,20
97,"a90d7e53-db59-49be-9ccd-5709053f3202","207ff938-b66d-4137-8343-7088616af16f","2022-11-11 00:11:12.573+00","2022-11-11 00:14:14.329+00",16,-61.0,20
98,"a90d7e53-db59-49be-9ccd-5709053f3202","207ff938-b66d-4137-8343-7088616af16f","2022-11-11 00:14:44.295+00","2022-11-11 00:15:14.368+00",269,-89.0,19
